valid_time,number,expver,pev,pev_mm
1973-09-01,0,0001,-0.004956315068830715,148.68945206492145
1973-10-01,0,0001,-0.006038165701781801,187.1831367552358
1973-11-01,0,0001,-0.00655049236932905,196.5147710798715
1973-12-01,0,0001,-0.005859014294569195,181.62944313164502
1974-01-01,0,0001,-0.004510712466379138,139.83208645775326
1974-02-01,0,0001,-0.00466733322543398,130.68533031215142
1974-03-01,0,0001,-0.00446453288174678,138.40051933415018
1974-04-01,0,0001,-0.004019299440693353,120.57898322080058
1974-05-01,0,0001,-0.0034913897355771987,108.23308180289317
1974-06-01,0,0001,-0.0031576836568354047,94.73050970506213
1974-07-01,0,0001,-0.002955844683740446,91.63118519595383
1974-08-01,0,0001,-0.003559099957783444,110.33209869128677
1974-09-01,0,0001,-0.005016481492454231,150.49444477362692
1974-10-01,0,0001,-0.006225769922750166,192.99886760525513
1974-11-01,0,0001,-0.006568964853127571,197.06894559382715
1974-12-01,0,0001,-0.0053060220941428945,164.48668491842975
1975-01-01,0,0001,-0.005005337050952573,155.16544857952977
1975-02-01,0,0001,-0.0046093330637515416,129.06132578504318
1975-03-01,0,0001,-0.004773609151951817,147.98188371050634
1975-04-01,0,0001,-0.004492464690382961,134.77394071148882
1975-05-01,0,0001,-0.0036761210285489,113.95975188501589
1975-06-01,0,0001,-0.0029140625502868103,87.42187650860431
1975-07-01,0,0001,-0.002984502273452232,92.5195704770192
1975-08-01,0,0001,-0.003948009802047324,122.38830386346706
1975-09-01,0,0001,-0.005171813854653814,155.1544156396144
1975-10-01,0,0001,-0.005908299628162694,183.15728847304354
1975-11-01,0,0001,-0.00679256879113929,203.7770637341787
1975-12-01,0,0001,-0.005353883258936213,165.9703810270226
1976-01-01,0,0001,-0.004646797757007332,144.0507304672273
1976-02-01,0,0001,-0.004877523455397935,141.4481802065401
1976-03-01,0,0001,-0.0042962318948104004,133.18318873912241
1976-04-01,0,0001,-0.004512801270121385,135.38403810364156
1976-05-01,0,0001,-0.003660940988434355,113.48917064146501
1976-06-01,0,0001,-0.0030346906567397824,91.04071970219347
1976-07-01,0,0001,-0.0032378703886595346,100.37398204844557
1976-08-01,0,0001,-0.0041160570217692845,127.59776767484782
1976-09-01,0,0001,-0.00461338038599603,138.4014115798809
1976-10-01,0,0001,-0.00633481484789624,196.3792602847834
1976-11-01,0,0001,-0.006481052647251879,194.43157941755638
1976-12-01,0,0001,-0.006162614167266189,191.04103918525186
1977-01-01,0,0001,-0.005614328995920953,174.04419887354956
1977-02-01,0,0001,-0.005546474108511526,155.30127503832273
1977-03-01,0,0001,-0.004433942631797755,137.45222158573043
1977-04-01,0,0001,-0.004627885951237431,138.8365785371229
1977-05-01,0,0001,-0.003349334130244908,103.82935803759214
1977-06-01,0,0001,-0.002833125314461028,84.99375943383085
1977-07-01,0,0001,-0.0032624299183827386,101.13532746986489
1977-08-01,0,0001,-0.004185514960097976,129.75096376303728
1977-09-01,0,0001,-0.004737030485573297,142.11091456719893
1977-10-01,0,0001,-0.005708882202058068,176.97534826380013
1977-11-01,0,0001,-0.005599002368212426,167.9700710463728
1977-12-01,0,0001,-0.005304316378198837,164.43380772416393
1978-01-01,0,0001,-0.004963838444718063,153.87899178625995
1978-02-01,0,0001,-0.0045603180849239314,127.68890637787008
1978-03-01,0,0001,-0.004478179218631178,138.82355577756653
1978-04-01,0,0001,-0.0040479841771332075,121.43952531399623
1978-05-01,0,0001,-0.0036984317990614644,114.6513857709054
1978-06-01,0,0001,-0.0031132641434266973,93.39792430280092
1978-07-01,0,0001,-0.0031020938988903734,96.16491086560157
1978-08-01,0,0001,-0.004081165503825181,126.5161306185806
1978-09-01,0,0001,-0.005014121174436872,150.42363523310615
1978-10-01,0,0001,-0.006113405463725082,189.51556937547755
1978-11-01,0,0001,-0.006078071382524698,182.34214147574093
1978-12-01,0,0001,-0.0050987092630313535,158.05998715397195
1979-01-01,0,0001,-0.004179411253535919,129.5617488596135
1979-02-01,0,0001,-0.005373930199309058,150.47004558065365
1979-03-01,0,0001,-0.004438648252497095,137.59809582740996
1979-04-01,0,0001,-0.004628659890077016,138.85979670231046
1979-05-01,0,0001,-0.0035634021196819334,110.46546571013994
1979-06-01,0,0001,-0.0032284691424909677,96.85407427472903
1979-07-01,0,0001,-0.003143440793440837,97.44666459666594
1979-08-01,0,0001,-0.0038313061969663265,118.77049210595612
1979-09-01,0,0001,-0.005204539180972895,156.13617542918684
1979-10-01,0,0001,-0.00626194961148061,194.12043795589892
1979-11-01,0,0001,-0.006827428386236258,204.82285158708774
1979-12-01,0,0001,-0.00545879827907532,169.22274665133492
1980-01-01,0,0001,-0.006103241514606542,189.2004869528028
1980-02-01,0,0001,-0.006206573398551024,179.99062855797968
1980-03-01,0,0001,-0.004411785665437843,136.76535562857313
1980-04-01,0,0001,-0.0050456989949832385,151.37096984949716
1980-05-01,0,0001,-0.003880043192383449,120.28133896388692
1980-06-01,0,0001,-0.00318719966957262,95.6159900871786
1980-07-01,0,0001,-0.003458564142655141,107.21548842230938
1980-08-01,0,0001,-0.003914955689952668,121.36362638853272
1980-09-01,0,0001,-0.005236977472000385,157.10932416001157
1980-10-01,0,0001,-0.005926894429879527,183.73372732626532
1980-11-01,0,0001,-0.006648910143189594,199.46730429568782
1980-12-01,0,0001,-0.006387682741459547,198.01816498524596
1981-01-01,0,0001,-0.005054209217558142,156.68048574430242
1981-02-01,0,0001,-0.004706874522809392,131.79248663866298
1981-03-01,0,0001,-0.004456734261149733,138.15876209564175
1981-04-01,0,0001,-0.004353011780955401,130.59035342866204
1981-05-01,0,0001,-0.0037046811662059848,114.84511615238553
1981-06-01,0,0001,-0.002978434396126435,89.35303188379305
1981-07-01,0,0001,-0.0029512924069596386,91.49006461574879
1981-08-01,0,0001,-0.003839205730780213,119.0153776541866
1981-09-01,0,0001,-0.004379124177826688,131.37372533480067
1981-10-01,0,0001,-0.006057324560136309,187.7770613642256
1981-11-01,0,0001,-0.006417746607966034,192.532398238981
1981-12-01,0,0001,-0.006048128480372335,187.49198289154236
1982-01-01,0,0001,-0.004797594618597787,148.7254331765314
1982-02-01,0,0001,-0.005076339419275595,142.13750373971666
1982-03-01,0,0001,-0.004466605531712526,138.4647714830883
1982-04-01,0,0001,-0.004199372515459558,125.98117546378673
1982-05-01,0,0001,-0.003650916474723075,113.17841071641533
1982-06-01,0,0001,-0.0032931137752426135,98.7934132572784
1982-07-01,0,0001,-0.00291685352264631,90.42245920203561
1982-08-01,0,0001,-0.003958965895763657,122.72794276867337
1982-09-01,0,0001,-0.004892826075335694,146.7847822600708
1982-10-01,0,0001,-0.005798902789376548,179.765986470673
1982-11-01,0,0001,-0.006168543965344688,185.05631896034063
1982-12-01,0,0001,-0.00633168143816649,196.2821245831612
1983-01-01,0,0001,-0.0064604052500603715,200.27256275187153
1983-02-01,0,0001,-0.005554524305307336,155.5266805486054
1983-03-01,0,0001,-0.006235516833009621,193.30102182329824
1983-04-01,0,0001,-0.005152515109769896,154.57545329309687
1983-05-01,0,0001,-0.004387955801316043,136.02662984079734
1983-06-01,0,0001,-0.0036288395330835083,108.86518599250525
1983-07-01,0,0001,-0.003765010963184484,116.715339858719
1983-08-01,0,0001,-0.004054786236275102,125.69837332452816
1983-09-01,0,0001,-0.004750809182351989,142.52427547055967
1983-10-01,0,0001,-0.006037945577971292,187.17631291711004
1983-11-01,0,0001,-0.00657171188819975,197.1513566459925
1983-12-01,0,0001,-0.0057122604309330985,177.08007335892606
1984-01-01,0,0001,-0.004263911355013134,132.18125200540715
1984-02-01,0,0001,-0.004431314799487117,128.5081291851264
1984-03-01,0,0001,-0.004088500037451087,126.74350116098368
1984-04-01,0,0001,-0.004235838283725184,127.07514851175553
1984-05-01,0,0001,-0.0037850439111497824,117.33636124564326
1984-06-01,0,0001,-0.003220931959346214,96.62795878038641
1984-07-01,0,0001,-0.0031469619151220725,97.55581936878424
1984-08-01,0,0001,-0.003626415843555412,112.41889115021777
1984-09-01,0,0001,-0.0048949049913622426,146.84714974086728
1984-10-01,0,0001,-0.005402328025676631,167.47216879597553
1984-11-01,0,0001,-0.004919464003209836,147.5839200962951
1984-12-01,0,0001,-0.005457863662959242,169.19377355173648
1985-01-01,0,0001,-0.004591867936337192,142.34790602645296
1985-02-01,0,0001,-0.00483668443314409,135.42716412803452
1985-03-01,0,0001,-0.004457830096654922,138.19273299630257
1985-04-01,0,0001,-0.003525879527457727,105.7763858237318
1985-05-01,0,0001,-0.0033023132618883676,102.3717111185394
1985-06-01,0,0001,-0.0028934258161824747,86.80277448547425
1985-07-01,0,0001,-0.003291049247034646,102.02252665807403
1985-08-01,0,0001,-0.004206784055960571,130.41030573477772
1985-09-01,0,0001,-0.004964508385306401,148.935251559192
1985-10-01,0,0001,-0.0060397176420202755,187.23124690262856
1985-11-01,0,0001,-0.004926578966663482,147.79736899990445
1985-12-01,0,0001,-0.004571514364044458,141.71694528537822
1986-01-01,0,0001,-0.004784634035237192,148.32365509235296
1986-02-01,0,0001,-0.0045688020256500145,127.92645671820041
1986-03-01,0,0001,-0.004183390002749465,129.6850900852334
1986-04-01,0,0001,-0.004127739801798097,123.8321940539429
1986-05-01,0,0001,-0.0036309095607610503,112.55819638359256
1986-06-01,0,0001,-0.0028927961891702663,86.78388567510798
1986-07-01,0,0001,-0.0029902326582419876,92.69721240550162
1986-08-01,0,0001,-0.004044321695844403,125.3739725711765
1986-09-01,0,0001,-0.0051861415009418835,155.58424502825653
1986-10-01,0,0001,-0.006059017681920361,187.8295481395312
1986-11-01,0,0001,-0.00644501568807935,193.3504706423805
1986-12-01,0,0001,-0.004791871788234013,148.5480254352544
1987-01-01,0,0001,-0.004554221216406823,141.18085770861148
1987-02-01,0,0001,-0.005837083995721365,163.4383518801982
1987-03-01,0,0001,-0.004712745394541538,146.0951072307877
1987-04-01,0,0001,-0.004500133693928825,135.00401081786475
1987-05-01,0,0001,-0.004256359951268943,131.94715848933726
1987-06-01,0,0001,-0.0028815355482806402,86.4460664484192
1987-07-01,0,0001,-0.0034985241788918807,108.45424954564831
1987-08-01,0,0001,-0.0039411190807214554,122.17469150236512
1987-09-01,0,0001,-0.005192575962596391,155.77727887789172
1987-10-01,0,0001,-0.0056817155895325,176.13318327550746
1987-11-01,0,0001,-0.005967655752295141,179.0296725688542
1987-12-01,0,0001,-0.0066349325135760355,205.6829079208571
1988-01-01,0,0001,-0.00499265043821956,154.77216358480635
