date,t2m_C
1985-05-01,6.44286962691973
1985-06-01,4.245637841401276
1985-07-01,3.842255977685795
1985-08-01,7.121349627904806
1985-09-01,8.018970229296485
1985-10-01,10.391034135715302
1985-11-01,8.670186094897588
1985-12-01,9.343277112332828
1986-01-01,9.775720632898356
1986-02-01,9.059532547305992
1986-03-01,8.94598635982652
1986-04-01,8.440870715009908
1986-05-01,5.57982278139832
1986-06-01,5.214946877938132
1986-07-01,3.4537010397512518
1986-08-01,6.457265866674163
1986-09-01,8.187201530878156
1986-10-01,9.36534650713071
1986-11-01,10.83789556763628
1986-12-01,10.03688439879403
1987-01-01,9.955494851825677
1987-02-01,9.637677939344712
1987-03-01,8.809336475236648
1987-04-01,8.687855928927604
1987-05-01,6.638027570186637
1987-06-01,4.293199142444564
1987-07-01,5.263295449069346
1987-08-01,6.9471930177987815
1987-09-01,8.423151069766845
1987-10-01,9.807096385126272
1987-11-01,11.547950326507475
1987-12-01,12.181598458138524
1988-01-01,10.810397827383952
1988-02-01,10.120935596583479
1988-03-01,9.901374193473544
1988-04-01,8.362957003619954
1988-05-01,6.755882703804673
1988-06-01,4.857578324818348
1988-07-01,5.937221692292951
1988-08-01,8.445413174993405
1988-09-01,8.590603317398575
1988-10-01,10.159546209243047
1988-11-01,10.980170674404519
1988-12-01,10.911089414617834
1989-01-01,9.697892329379272
1989-02-01,9.318921379053165
1989-03-01,9.004245959079128
1989-04-01,7.571973382113981
1989-05-01,6.6545304758563475
1989-06-01,5.475708206031413
1989-07-01,4.856882762441444
1989-08-01,6.58300033203335
1989-09-01,8.55003897292869
1989-10-01,11.261578732981377
1989-11-01,10.884048158215933
1989-12-01,11.141363920833783
1990-01-01,10.057310571525079
1990-02-01,9.289176114561599
1990-03-01,9.989625236024779
1990-04-01,9.393330358298158
1990-05-01,7.364051950150952
1990-06-01,4.961070243244194
1990-07-01,4.210431653745616
1990-08-01,6.573823882156205
1990-09-01,8.163165240970159
1990-10-01,10.79689444628275
1990-11-01,11.053461750100894
1990-12-01,10.19620673587275
1991-01-01,10.122690676770219
1991-02-01,10.609279531486152
1991-03-01,9.81736615549272
1991-04-01,9.593447326167166
1991-05-01,7.880846741418168
1991-06-01,5.3762489868389025
1991-07-01,5.203784603831423
1991-08-01,7.806308350806148
1991-09-01,8.653633206881068
1991-10-01,10.244224482814786
1991-11-01,10.269312035331268
1991-12-01,10.26159925949878
1992-01-01,9.505049968188814
1992-02-01,9.726246544334401
1992-03-01,9.671159784319912
1992-04-01,9.188941869694588
1992-05-01,7.720798349257507
1992-06-01,5.270244213196861
1992-07-01,4.526788315978592
1992-08-01,5.382659524014798
1992-09-01,6.9966811136893625
1992-10-01,9.914677335556291
1992-11-01,9.898278970230422
1992-12-01,11.395905318571579
1993-01-01,9.133634274516453
1993-02-01,9.237834534339186
1993-03-01,9.014781787227207
1993-04-01,8.913072611761265
1993-05-01,6.8303370639715695
1993-06-01,5.904704353337081
1993-07-01,4.859796023868228
1993-08-01,5.2763731696612695
1993-09-01,8.154599641702532
1993-10-01,9.965828801811199
1993-11-01,11.091235643716402
1993-12-01,10.619892670154172
1994-01-01,9.96601278276097
1994-02-01,9.681569664378856
1994-03-01,9.285435747975384
1994-04-01,9.265668339913645
1994-05-01,7.908357303388016
1994-06-01,5.542888026806452
1994-07-01,5.566897498539504
1994-08-01,7.435602150440388
1994-09-01,9.473257800780516
1994-10-01,10.72396197875156
1994-11-01,11.403670620116316
1994-12-01,10.887200632703468
1995-01-01,10.41584399950915
1995-02-01,10.992639388827627
1995-03-01,9.906378440235358
1995-04-01,9.681120110515963
1995-05-01,7.626420151114303
1995-06-01,5.776000391681066
1995-07-01,5.80308277105911
1995-08-01,8.599525507608519
1995-09-01,9.829299473699791
1995-10-01,10.898174845098481
1995-11-01,12.373914740251337
1995-12-01,10.830585755394168
1996-01-01,10.508021825633818
1996-02-01,10.204169949422067
1996-03-01,9.807950380300042
1996-04-01,9.862214311770003
1996-05-01,7.451463642693852
1996-06-01,5.173375461397654
1996-07-01,5.16761966908075
1996-08-01,7.378169869700287
1996-09-01,7.722242760542883
1996-10-01,10.967395096929692
1996-11-01,10.733795332258978
1996-12-01,10.574454687009961
1997-01-01,9.82340820512087
1997-02-01,9.448297265080669
1997-03-01,8.630722535264454
1997-04-01,7.807925968254494
1997-05-01,6.622271487003445
1997-06-01,4.961490279521968
1997-07-01,6.3393128268414785
1997-08-01,6.002648246776232
1997-09-01,9.5997300814077
1997-10-01,11.202249053907053
1997-11-01,12.430449945792986
1997-12-01,13.85632258369452
1998-01-01,13.169141706569917
1998-02-01,12.269866608822042
1998-03-01,12.89794823003723
1998-04-01,10.353267727399498
1998-05-01,8.217189853235595
1998-06-01,6.112648974609613
1998-07-01,6.63954449891412
1998-08-01,7.436394484741243
1998-09-01,8.691702605442515
1998-10-01,10.40548167659
1998-11-01,10.896134568506966
1998-12-01,12.113580210942416
1999-01-01,10.657914181451872
1999-02-01,9.927974847360588
1999-03-01,9.250595996068967
