valid_time,number,expver,e,e_mm
1950-08-01 06:00:00,0,0001,-0.0008768467405472986,27.18224895696626
1950-09-01 06:00:00,0,0001,-0.0012225854351902755,36.67756305570827
1950-10-01 06:00:00,0,0001,-0.002045609616349663,63.41389810683955
1950-11-01 06:00:00,0,0001,-0.002728956005539028,81.86868016617085
1950-12-01 06:00:00,0,0001,-0.0032207583406714288,99.8435085608143
1951-01-01 06:00:00,0,0001,-0.0037873807392982736,117.40880291824648
1951-02-01 06:00:00,0,0001,-0.003421604399855997,95.8049231959679
1951-03-01 06:00:00,0,0001,-0.0033711998118503314,104.50719416736028
1951-04-01 06:00:00,0,0001,-0.002779028665035063,83.37085995105188
1951-05-01 06:00:00,0,0001,-0.001425270452489172,44.18338402716433
1951-06-01 06:00:00,0,0001,-0.0008740706620843461,26.222119862530384
1951-07-01 06:00:00,0,0001,-0.0006844328911045888,21.217419624242254
1951-08-01 06:00:00,0,0001,-0.000843980709122882,26.16340198280934
1951-09-01 06:00:00,0,0001,-0.0010730599888904308,32.191799666712924
1951-10-01 06:00:00,0,0001,-0.0015681585076507004,48.612913737171716
1951-11-01 06:00:00,0,0001,-0.003466455797281289,103.99367391843867
1951-12-01 06:00:00,0,0001,-0.0038596203510231487,119.64823088171761
1952-01-01 06:00:00,0,0001,-0.0037569379000471294,116.46507490146101
1952-02-01 06:00:00,0,0001,-0.003420450943604003,99.19307736451609
1952-03-01 06:00:00,0,0001,-0.0035147720460619535,108.95793342792055
1952-04-01 06:00:00,0,0001,-0.0023565332899045267,70.6959986971358
1952-05-01 06:00:00,0,0001,-0.0011785120710217385,36.533874201673896
1952-06-01 06:00:00,0,0001,-0.0008497083273990448,25.491249821971344
1952-07-01 06:00:00,0,0001,-0.0006937167698347653,21.505219864877724
1952-08-01 06:00:00,0,0001,-0.0008224337676863318,25.495446798276287
1952-09-01 06:00:00,0,0001,-0.0015549659468760868,46.64897840628261
1952-10-01 06:00:00,0,0001,-0.0014986596961573968,46.4584505808793
1952-11-01 06:00:00,0,0001,-0.002243879792338975,67.31639377016926
1952-12-01 06:00:00,0,0001,-0.003672296011369335,113.84117635244938
1953-01-01 06:00:00,0,0001,-0.00355226886717636,110.12033488246716
1953-02-01 06:00:00,0,0001,-0.0036523164045183655,102.26485932651423
1953-03-01 06:00:00,0,0001,-0.0033933798573457176,105.19477557771724
1953-04-01 06:00:00,0,0001,-0.001978989306075901,59.36967918227703
1953-05-01 06:00:00,0,0001,-0.001049786031209401,32.54336696749143
1953-06-01 06:00:00,0,0001,-0.0008765218361452149,26.295655084356447
1953-07-01 06:00:00,0,0001,-0.0008173327687378149,25.337315830872264
1953-08-01 06:00:00,0,0001,-0.0008306839081197038,25.75120115171082
1953-09-01 06:00:00,0,0001,-0.0010033831784902352,30.10149535470706
1953-10-01 06:00:00,0,0001,-0.0011616113849451952,36.00995293330105
1953-11-01 06:00:00,0,0001,-0.0018198865187759867,54.5965955632796
1953-12-01 06:00:00,0,0001,-0.002456356536995162,76.14705264685003
1954-01-01 06:00:00,0,0001,-0.003742335969141189,116.01241504337686
1954-02-01 06:00:00,0,0001,-0.0035834766988772707,100.33734756856357
1954-03-01 06:00:00,0,0001,-0.0034029202139062836,105.4905266310948
1954-04-01 06:00:00,0,0001,-0.002661645539402895,79.84936618208685
1954-05-01 06:00:00,0,0001,-0.0016709793509674055,51.80035987998957
1954-06-01 06:00:00,0,0001,-0.0009693989673612216,29.08196902083665
1954-07-01 06:00:00,0,0001,-0.0007025909835983383,21.780320491548487
1954-08-01 06:00:00,0,0001,-0.0007571091728097003,23.47038435710071
1954-09-01 06:00:00,0,0001,-0.00150183888011862,45.0551664035586
1954-10-01 06:00:00,0,0001,-0.0018806111737896735,58.29894638747988
1954-11-01 06:00:00,0,0001,-0.0029054522954243805,87.16356886273141
1954-12-01 06:00:00,0,0001,-0.003082694903921125,95.56354202155487
